stem,idf
syaba,1
'dzinsbyon,1
lusmi,1
triptyarth'a,1
sadzhal,1
dv'ara,1
h'rim,1
gakye'i,1
yorlat,1
stebgegs,1
gasnying,1
kyezhes,1
bandhurtstshe,1
'jugsmrang,1
yepsi,1
brdeggong,1
bardh'ana,1
shanggi,1
diddha,1
'phogbzo,1
noskya,1
'galgang,1
dvishti,1
shash'u,1
kadanta,1
suddham,1
byashes,1
nomon,1
shade'i,1
doai,1
rgyug'dod,1
karmar,1
kashtsitstsi,1
t'anyanu,1
rogo,1
shvit,1
sudda,1
dzano,1
ba'ogdug,1
kartyoo,1
aantitsa,1
dompi,1
shvin,1
tintri,1
tvish'am,1
a'tama,1
shushyatta,1
sduggzhan,1
mudzdzyi,1
rigzag,1
dzarata,1
byalka,1
gcigmgrin,1
r'atkri,1
ngang'od,1
yastve,1
bragbh'ar,1
rche,1
simm,1
phyagdrag,1
k'alus,1
nadhn'a,1
kartt'asmi,1
aa'tma,1
donmatt'a,1
shigsbed,1
sh'ishtat,1
tanmah'i,1
tshvang,1
dgugbsad,1
kshn'u,1
bheerdza,1
tarkke,1
meettri,1
k'na,1
gulstong,1
khangsems,1
pa'imngon,1
tasra'o,1
k'antri,1
ratstshattra,1
randyu,1
dhatth'a,1
kimbi,1
skare,1
aundza,1
ro'ongs,1
ranytsu,1
kyatam,1
dusong,1
sanita,1
yut'ang,1
sanydz'i,1
dgugbgegs,1
mugdza,1
snangrab,1
ganir,1
tashtsam,1
b',1
ksh'artha,1
basrdul,1
tshigmtshor,1
turmim,1
logsku,1
dh'ya,1
surang,1
cansa,1
dyasa,1
gosnga,1
kamti,1
drabya,1
cha'obde,1
nathugs,1
'otsa,1
dzsoo,1
tshiggcig,1
kalpyeta,1
dugsangs,1
r'ashat,1
bachu,1
bd,1
kashtsar,1
bhnydza,1
grubshi,1
bt,1
g'anma,1
bs,1
bintte,1
hershy'a,1
yenyatra,1
degsad,1
bzhagsgrib,1
bityotta,1
ranytso,1
dhyeesmi,1
bzhagsngags,1
gcigrul,1
phyuggsal,1
punydzee,1
tsegze'u,1
niktin,1
nigtsags,1
aitatsa'o,1
bishtee,1
burbrjod,1
bu'omtshan,1
niskabs,1
kshe'e,1
nirbritt'a,1
a'ami,1
nurgra,1
h'arsh'itkhanda,1
bzhag'grengs,1
shvastyam,1
zhingsna,1
byugmu,1
atpala,1
shpd'a,1
canmchil,1
autsshva,1
aunam,1
grishna,1
tvika,1
landr'a,1
zhogsgron,1
la'anggha,1
britt'ant'am,1
byugmo,1
lingtsa,1
nisgra,1
kaskrag,1
sh'apsu,1
kamtangga,1
la'osra,1
r'ishtha,1
dgedbus,1
tsitt'arttam,1
zhingskye,1
kubde,1
palakshan,1
p'atsyam,1
sheeka,1
talli,1
lhagzugs,1
bya'obya,1
masm'ata,1
lagmchu,1
bya'obyi,1
p'urneerdva,1
ghn'i'i,1
regkhrus,1
trastr'i,1
s'ahv'an,1
hishat,1
pa'ona,1
syasti,1
pa'ong,1
laszangs,1
ratnodzdzva,1
stebud,1
kyisangs,1
patsantu,1
ndanda,1
sterkhyim,1
noa'a,1
bh'asta,1
shaky'arthe,1
bh'asti,1
na'oau,1
zhogmtshan,1
duhra,1
'jugbyams,1
yidde,1
migtrishtummi,1
dikga,1
s'ambhu,1
hrika,1
sanm'argga,1
hl'am,1
nasrtsa,1
pabstod,1
skandam,1
tasmingiri,1
mabra,1
dma'gzi,1
gcigphan,1
yisgzhon,1
tshirda,1
tsoormi,1
srakasragsra,1
bdagrgyun,1
thogshin,1
y'adzdzanma,1
ba'ignas,1
kudku,1
ddhy'a,1
khyastad,1
na'oshes,1
'dugsra,1
p'aktum,1
a'urdva,1
nandirbha,1
zhogngag,1
rhadba,1
la'otsha,1
yoshn'i,1
shranthu,1
rtogrgyal,1
rasgra,1
ro'chad,1
migg,1
la'oaarda,1
bhr'adza,1
bhr'adzi,1
sy'antarbi,1
ngonor,1
byabyang,1
sochung,1
tsarppa,1
nyatstshanna,1
aista'i,1
byedman,1
b'arth'a,1
yatkinytsita,1
sgrubgal,1
bhrasdzisha,1
parla,1
badbhyam,1
svr'i,1
y'ita'am,1
mchog'bum,1
ldanka,1
rarba,1
prasthonyastr'i,1
karmanda,1
zlogces,1
shishyu,1
mardzdzi,1
karmandi,1
aargya,1
nikhro,1
pyukta,1
mambho,1
gnagna,1
gnagnu,1
de'irnam,1
santaptast'i,1
ro'pho,1
taki'i,1
rdzinya,1
nagsnying,1
tvarb'a,1
zhen'dir,1
rnamssdug,1
l'atpra,1
stv'arth'a,1
tirn'asti,1
pa'odhu,1
yisnad,1
bririm,1
duggsang,1
leh,1
dish'a'o,1
sthasta,1
dophra,1
ramk'a,1
ty'asminna,1
byugrtsa,1
nasbkra,1
ngug,1
mabdag,1
n'itv'a,1
bhaktirma,1
kar'ishta,1
btabpags,1
prasbya,1
c'di,1
gr'aha,1
aarnno,1
rnyadza,1
nirgan,1
noddh'u,1
bitstso,1
hartr'i,1
kaparnam,1
pashtsita,1
dy'a'i,1
phragau,1
ca'a,1
k'atstshinna,1
dokhyod,1
nogoms,1
gcigspyan,1
l'anga,1
gigro,1
briddhra,1
zhigkham,1
yadbi,1
gridhra,1
pawa,1
'jigna,1
'grosrid,1
lhagbyang,1
tsatv'ar,1
tosngar,1
can'gog,1
tasm'atke,1
bya'ogrogs,1
ngobal,1
khanggdugs,1
mchogbzhad,1
bh'aksha,1
dresha,1
bzhagrtag,1
bartt'atpu,1
dgug'dam,1
lupsa,1
shpha'o,1
cigrga,1
drili,1
gimyos,1
ragbhy'am,1
cigmtho,1
bhanydma,1
dolnga,1
aeeshn'a,1
gandyi,1
hentu,1
ki'bras,1
siddhanta,1
shrasha,1
sdugmu,1
'dra'omi,1
rtagrgyun,1
bendre,1
dusht'anta,1
brtagzug,1
logthog,1
henti,1
nilci,1
dgethur,1
yangkra,1
puttra,1
bharti'i,1
puttre,1
lagzhe,1
st'urnnam,1
dz'atstsha,1
bya'olha'i,1
tanggarpa,1
thigrang,1
'gagsned,1
k'ashlo,1
zhigbsgrub,1
d'anm'a,1
radbhu,1
npu,1
cigbskyed,1
gridhroo,1
dhunya'am,1
mchogmar,1
rilli,1
gomdo'i,1
sprothal,1
hthar,1
gcigbshags,1
yinbcos,1
m'unydza,1
la'khor,1
gzhugsdig,1
lasra,1
sm'adgarbha,1
dzinne,1
tsamma,1
mart,1
rorgya,1
phogrta,1
rashu,1
godbh'a,1
aaddh'i,1
tharban,1
kamkha',1
dg'urshu,1
kyipha,1
bzhinshing,1
lagdmigs,1
svarbh'a,1
dimp,1
nomthu'i,1
gharmmi,1
kisa,1
gharmmo,1
gharmma,1
tsyee'o,1
bau,1
teye,1
nadu,1
ghr'ar,1
d'yanytsoo,1
goory'am,1
'jogbsam,1
t'arma,1
dhiti,1
lotphullam,1
merga,1
kashatsa,1
aattya,1
ga'dzin,1
dragaa,1
ghonda,1
banas,1
y'arh'a,1
d'anto,1
ghondi,1
bh'urbha,1
go'gog,1
gzhugphyal,1
kerdi,1
aasmanbra,1
bh'urbhu,1
bklagmkhas,1
byushti,1
aushshi,1
tr'atshva,1
nasthig,1
giyi,1
byushta,1
soosht'am,1
aadzi,1
giyu,1
dbyungbadzra,1
la'brel,1
dzighatpa,1
zhigngo,1
dandad,1
tpan'a,1
shyadka',1
dvirba,1
taksa,1
khka,1
gehra,1
kamaishth'a,1
kams'am,1
pa'o'thab,1
brtsede,1
turti,1
svidy'at,1
lishyana,1
bnda,1
dgugmnyam,1
lipdhvam,1
rosdom,1
'jigsprin,1
thkthkr'i,1
mm'anma,1
shaktirm'urtti,1
k'anytse,1
thagce'o,1
gyisphyi,1
keha,1
nydzam,1
gzhugrten,1
yuktekshm'a,1
lakhams,1
mdogla,1
hinsi,1
bheharsham,1
sosad,1
mchogslong,1
thignub,1
mukterh'a,1
prabhashta,1
rabh'a,1
tasty'a,1
hinsu,1
sharoo,1
bdugrnga,1
drugsngags,1
sardda,1
sh'atk'a,1
dangnye,1
nortog,1
gugrang,1
lpishta,1
kshl'm,1
tambarasha,1
mnydu,1
a'idhvam,1
tshigaoo,1
gcigrnyed,1
tshigaom,1
tsabi,1
sh'arngga,1
dadbhya'm,1
kehu,1
htya,1
kasm'atki,1
dadhg'a,1
gilog,1
narlumba,1
sbyorrtsa,1
shary'a,1
skanda'i'o,1
rammas,1
brtana,1
sy'adya,1
rakshnustr'a,1
nimbu,1
shogsnyoms,1
niratn'a,1
m'amsp'a,1
tshigtishtha,1
turbbee,1
'gyurdkyil,1
phratstshi,1
kuti,1
bashpa,1
dhartt'a,1
aakna,1
soao,1
soai,1
y'aai,1
spshshthka,1
sidhir,1
parbya'o,1
'jugsnyoms,1
matstshe,1
kshudoo,1
brornu,1
kaddhyam,1
soau,1
sinb'u,1
po'o'i,1
sudh'i'o,1
kyi'olan,1
rurgh'a,1
dhta,1
medaa,1
bhishvnytsa,1
karshika,1
tantrotta,1
ghamtsakre,1
nadsel,1
'grokhyod,1
trv'a,1
mamkta,1
tuktam,1
hedhuka,1
dzapta,1
aartri,1
g'astadb'ar,1
nidpung,1
aindy'ata,1
bi'us,1
mchogshir,1
lammgon,1
nastho,1
sregrnam,1
bsregrdzas,1
sm'arshtam,1
nindyasta,1
singbha,1
goshts'a,1
g'ambh'iryam,1
dmigsbyams,1
lagdang,1
aastoo,1
skyugmur,1
mtsha'ur,1
obdag,1
'thogkha,1
zhigspyod,1
rbar,1
yattadya,1
bhudktha,1
torung,1
rogkhva,1
kadzdzu,1
tu'e,1
nambashnu,1
h'umzla,1
drinvanti,1
tamasm'a,1
terims,1
m'ans'am,1
phanmi,1
badbho,1
suntra,1
tstshandho,1
pa'ode'ang,1
dhyuga,1
baddagdho,1
dhuksh'i,1
bya'oskyes,1
rnagkhragrdul,1
d'am'u,1
drugzhal,1
kv'alpa,1
tshigsen,1
r'a'in,1
mintri,1
dzendras,1
yissangs,1
hidsu,1
tvarththe,1
kadbugs,1
khash,1
zhagchu,1
tashi,1
gzhugphung,1
yinshi,1
du'olhor,1
bdagchus,1
migm'a,1
dagki,1
dru',1
rakagnoo,1
nasu,1
lhagrab,1
basty'ante,1
'jugtshul,1
ramktv'a,1
lambhastva,1
ladhi,1
pr'appy'a,1
bya'o'brum,1
gh'uksh'ishta,1
tirgri,1
mor'a,1
shigmchil,1
byaktyam,1
pr'adzny'o,1
robzo'i,1
krumtsa,1
nadh'a,1
baphyir,1
stantu,1
aarthanydzi,1
mnorni,1
togtsand'a,1
dagbgo,1
sregsngar,1
norn'a,1
ma'obsgom,1
harshishtha,1
tasto,1
bhabanti,1
rurdhve,1
dnna,1
d'anhe,1
gtogsgsum,1
svadha,1
ngaglag,1
prasha,1
ni'bum,1
cigcu,1
dh'uny,1
keetbh'a,1
ts'urmi,1
kaaanggu,1
bigdhurnna,1
tsukshut,1
aarwanta,1
prasht,1
dagsgeg,1
bhadksh'a,1
aatsishnudh'a,1
canspros,1
pagtum,1
sarwakoosrwa,1
tsh'atta,1
rgyuglang,1
dzambhra,1
kh'artam,1
'dzagsra,1
n'ardhi,1
tsuko,1
lhagsa,1
shaka'o,1
gogung,1
kshura,1
k'ikha,1
shatsant'a,1
bellya,1
stte,1
stta,1
ba'imtshan,1
rnda,1
nibil,1
nusma,1
b'amr,1
h'at,1
nonyastri,1
luso,1
kerya,1
sregmchod,1
theshti,1
styee'i,1
phyagral,1
chden,1
khragtsandan,1
dhyra,1
dagsardza,1
ghendhe,1
draksh'abr'aksh'agargga,1
a'urkka,1
hakshi,1
kyangmi,1
snuka'o,1
no'chad,1
lindra'i,1
zhigdga',1
gestha,1
balo,1
bh'uttyakta,1
dush,1
laran,1
kyislegs,1
'dug'thab,1
gcig'bad,1
aurbbi,1
hp'a,1
yang'jig,1
drugdham,1
tirdznya,1
tsangkra,1
prashthi'i,1
santosha,1
barbriddha,1
m'arddanggi,1
hartu,1
yasnigdha,1
dh'u'o,1
harta,1
yisnga,1
harte,1
beesha,1
tansi,1
sh'arna,1
sy'atte,1
h'arsha,1
sy'atti,1
sh'arni,1
dastad,1
to'khor,1
nigrags,1
l'abma,1
la'olunya,1
dh'urnna,1
gulla,1
skandhira,1
bimbi'i,1
shits'i,1
zhigres,1
gzhugmche,1
rdzil,1
dhakhi,1
myotstsa,1
y'agl'a,1
nasphyer,1
d'atkha,1
zhigreg,1
cadmkhyen,1
sgras'gro,1
aooshtha,1
aashnu,1
k'atsyamma,1
masm'annuddi,1
barshantadbi,1
sosgo,1
gnasthabs,1
kunsangs,1
aalnga,1
madh'i,1
dodha,1
pasrtags,1
'jugsrid,1
k'itheg,1
hasni,1
parji,1
dbulgang,1
th'irshu,1
mgobcad,1
smadshing,1
kshud,1
ngag'od,1
namtho,1
tshanne,1
rtsirtr'i,1
nadzny'a,1
nerg'a,1
p'urtam,1
dosogs,1
brtagkhrims,1
svatv'a,1
m'anashtsa,1
bhyastra,1
nakalpa,1
mthongbde,1
str'indri,1
aut'a'i,1
ga'bru,1
kandra,1
m'anto,1
stubhn'i,1
yordz'a,1
mundat,1
murtstshi,1
stubhn'a,1
pa'ibsod,1
sakkha,1
pritstshyate,1
gzhag'dir,1
b'apdzdzi,1
gcigrgya,1
nitdza,1
nartishu,1
t'arsha,1
tshande,1
mitstshe,1
treerby'a,1
skragzhal,1
desgsal,1
rigsngon,1
yornna,1
phyugblo,1
bartsim,1
s'urp'a,1
lcogrin,1
tsakshushtsa,1
dhuntu,1
shingchu,1
lann'a,1
burmo,1
b'ankalpe,1
dhirni,1
'byungkun,1
'joggal,1
dhunti,1
buddhanna,1
mallam,1
pragdha,1
drugre,1
gothung,1
aasph'asth'a,1
bhindya,1
nm'anta,1
bhrakna,1
'tshalyang,1
kadga',1
n'arnnam,1
tsedba,1
tchos,1
brdzr'ai,1
aesa'o,1
w'ashishtha,1
'dzagdga',1
gokhyi,1
s'akshmam,1
draglus,1
rnirka,1
nyiddpa',1
'jigsnying,1
zhingkhyad,1
cigkhrid,1
yis'bras,1
kamkarni,1
yinlus,1
gamh'um,1
parsnyoms,1
stedri,1
gotandu,1
kamzung,1
nolkog,1
yin'brel,1
sosmras,1
dapee,1
kappur,1
dadgantu,1
rabdho,1
kh'ashma,1
bakshipta,1
meetr'i,1
buma,1
bkagsgra,1
gnyisg,1
ra'g,1
lpat,1
rooksh'a,1
srogstong,1
skhad,1
nambod,1
doblang,1
lhagchang,1
yukayuga,1
drugmtshams,1
s'art'a,1
yangku'o,1
gzhagzhal,1
gitra,1
la'ozag,1
t'ashtotta,1
la'ozad,1
gzhagzhag,1
b'itt'ata,1
gobzang,1
kr'akshva,1
a'asht'am,1
thugchos,1
tstsharda,1
'khyogkhrag,1
aardho,1
ba'inad,1
ladam,1
dadhn'a,1
muttasthurga,1
bh'utparbba,1
hast'apdzastidda,1
gobardza,1
murprashtum,1
m'antre,1
no'debs,1
bhraidza,1
aushn'o,1
bdagbkag,1
burku,1
nostobs,1
'gyurdam,1
dyadharmmam,1
'juglte,1
aasti'ang,1
byed'dir,1
aaskambhi,1
'digzhan,1
yordvi,1
ma'olim,1
basgrol,1
khragme'i,1
yisrlung,1
dzarya,1
dzandi,1
phuldpal,1
paphung,1
dangmig,1
krid'aha,1
gapadma,1
sy'ambandha,1
smartt'a,1
thamsc,1
prishtastadbritt'anta,1
rimskhrag,1
ntotta,1
zhingstong,1
'dzagzhu,1
'jig'gyur,1
d'ishya,1
t'arsh'i,1
sarb'ahna,1
tadant'i,1
tabya,1
shaddin,1
bzhina'ang,1
logmar,1
hodzas,1
kaw'a,1
passgro,1
dish,1
sh'ashhy'a,1
tyunna,1
passgra,1
gtsugkun,1
'jugsngar,1
y'asba,1
staggtum,1
aardh'atstsa,1
dvirgha,1
shushmi,1
sphudi,1
aasht'an,1
dodper,1
rnamsrmi,1
kantoo,1
bitsintya,1
ngonang,1
dbyi'oaasthni,1
sprishti,1
sinku,1
migbsgribs,1
shr'antotta,1
shubhri,1
leerbhakshya,1
hr'ishtri,1
semsgzung,1
mn'am,1
sambada,1
shigbrjod,1
dangrma,1
gdugsbrul,1
shatadru,1
shigbrtags,1
rodza,1
hardzdza,1
pakshyana,1
a'unga'i,1
bhyatee,1
rodzi,1
tyrthi,1
brenta,1
n'indi,1
rksh'am,1
rtagsgra,1
d'ant'atto,1
muntsan,1
binn'anya,1
linytsi,1
neerdharmma,1
gisle,1
dandot,1
khugmig,1
'dodblo,1
pyappa,1
gislob,1
linytsa,1
wlung,1
rudkyil,1
'the'u,1
aibhir,1
nitstshe,1
wart'am,1
ganggang,1
nyplp'u,1
shtod,1
shpanna,1
a'antarge,1
mdogbrum,1
rusngags,1
pinka'i,1
phyuglongs,1
thigbyin,1
bcasg,1
ratn'ashma,1
hanydze,1
'khyudlhag,1
hrir'am,1
dguggang,1
lomna,1
mobadzra,1
shrta,1
tsakrakshi,1
gzhagslar,1
b'anmri,1
k'agang,1
pl'iha,1
shog'ba',1
karmm'ant'a,1
shollambi,1
aasminde,1
sparddh'a,1
aa'ma,1
brtagsa'i,1
sbyongpha,1
phyuggzi,1
ba'idri,1
p'urbb'ardzi,1
sla'obran,1
m'urta'i,1
sushu,1
tamlo,1
d'aptam,1
shard'u,1
d'aptar,1
rpan,1
hirshar,1
yisrtsom,1
glunytsu'i,1
bh'utpurbba,1
m'anga'i'o,1
trestra,1
lolha,1
dishno,1
robzhis,1
shigdum,1
g'addakshi,1
prishtastatpu,1
bshigdge,1
nutpna,1
yee'o,1
g'ardharbhi,1
donyastri,1
drugme'i,1
phyug'od,1
basht'i,1
barbandha,1
dzanme,1
tstshishtam,1
dagdhosmi,1
buddheshtsoo,1
brtag'phro,1
ranytsi'i,1
gamlnga,1
tastasm'a,1
domthong,1
byamkhar,1
yushmatta,1
stvabdhoo,1
ni'onam,1
par'jug,1
nanytsha,1
dagmtsho,1
tannishtsa,1
sandhirna,1
kishna,1
dgagri,1
'dzinrgyun,1
zhingldog,1
ro'phags,1
bzhaglnga,1
sth'at,1
spyi'us,1
neergantum,1
byedsle,1
dishbhan,1
dgagkhu,1
dharmmm'a,1
dgagbshos,1
shogglegs,1
yishugs,1
sarwsmee,1
med'u,1
nyid'ang,1
yushmadbhy'am,1
yksha,1
zugyan,1
stegtsang,1
ykshi,1
kyangbsam,1
m'ardanggi,1
shyant'i'o,1
bashnu,1
tyulla,1
btsodspang,1
ts'udi,1
nayig,1
sv'ans'a,1
go'gyur,1
shr'antyee,1
neeshkam,1
zhigphar,1
dzetmu,1
madzdzanda,1
pa'osh'a,1
dagdkyel,1
aaspha,1
aatyan,1
dadriynytsam,1
rgkyal,1
mukdh'a,1
bu'ordzus,1
mah'o,1
bhotpa,1
zhingthabs,1
ratneer,1
phyugklu,1
ly'i,1
dperbu,1
ksheshna,1
tumb'a,1
dpaglha,1
brishtyambu,1
dgugsa,1
kartristha,1
kartristhe,1
ka'byung,1
rosarbi,1
tebgegs,1
bh'unmu,1
shyantya,1
shoglhung,1
gampra,1
shyantye,1
bh'utshu,1
tshigbyas,1
tr'antam,1
dh'm,1
aetso,1
solluntha,1
rtsba,1
sdigkhro,1
dv'asapta,1
dagsmyig,1
tenyastre,1
hadzna'i,1
'daslas,1
mah'astha,1
streeng,1
ge'di,1
zhiggzings,1
tshiggrong,1
paphphpahm'a,1
tsartyam,1
nadzmi,1
rtagtshangs,1
aurdh'a,1
tyakte,1
sbroslce,1
airi,1
tobsam,1
shr'irm'a,1
dangspro,1
pragbi,1
bhorbh'a,1
airu,1
lagdon,1
gangg'ann'a,1
audh'a,1
aatso,1
gehla,1
nenyandam,1
br'anta,1
bsgragszhes,1
samb'u,1
dz'in,1
partt'a,1
titha,1
shu'og,1
svandzi,1
sy'anggo,1
drugbar,1
a'ambashtha,1
ratnad,1
dardrasha,1
aushm'askam,1
lan'ar,1
bhegnoo,1
dvila,1
t'ikshi,1
'jugga,1
nirgantum,1
godha,1
gobzlog,1
tistatta,1
godhi,1
gi'brel,1
byuglcags,1
aabba,1
bragbrda,1
labum,1
aatva,1
st'irbi,1
dastata,1
shreshn'i,1
dhy'atm'i,1
svatstshastu,1
bhisheka,1
budha'i,1
tushko,1
s'atsitshant'a,1
bandhurbhikshu,1
dugdrag,1
prajnya,1
rotkarsh'a,1
nartham,1
s'arth'i,1
manydz'a,1
she'omngon,1
manydz'i,1
aushno,1
brdegmtshon,1
tsadakta,1
bcugla,1
sprihi,1
kashth'a,1
shushkasth'u,1
shts'amb'a,1
dhvanni,1
bcugbsang,1
midbhi,1
kamg'armu,1
dzla,1
bya'omkhris,1
tr'irthi'i,1
cigbrjed,1
prosthi,1
lagnyid,1
yady'a,1
dbhyi,1
dy,1
dr,1
sritvar'i,1
byasngon,1
nushtupa,1
aindeta,1
mchoggoms,1
shvashtenyalpe,1
matm'a,1
'dugdul,1
rogsungs,1
ma'osha,1
ngognyen,1
sengegar,1
bdagsgro,1
aalmpa,1
logmthong,1
phyirg,1
totshar,1
brtagyid,1
karkand'u,1
brittantam,1
chekeng,1
gobsgrub,1
nyidlha,1
danglug,1
a'a'odrug,1
yuksh'ishta,1
bhyante,1
sy'atpum,1
gharti,1
mbhu,1
kamgrangs,1
aeert'ita,1
gharta,1
'dzagdkyil,1
aasmari,1
dodbha,1
kruta,1
'dingag,1
sh'ashpa,1
ghartt,1
rangkha,1
barbrittam,1
kammdo,1
nassprin,1
'jigsbyor,1
shoggzhal,1
nirpi,1
yis'dud,1
basnyer,1
midi'i'o,1
brlagaom,1
mdogstong,1
b'urb'ardha,1
tsandrarka,1
sregres,1
l'atstsha,1
grihnna,1
dy'anda,1
bgyiddge,1
gzhugyon,1
rgyugman,1
yitka,1
bhrardzi,1
bhu'i'o,1
padri,1
sagtu,1
'jigaarti,1
nabyas,1
aakshi'i'o,1
karbe,1
smadbhy'am,1
s'arbham,1
panbi,1
bcugkhyed,1
parni'ogzhan,1
kalpyatra,1
dakshan,1
pushpab'a,1
ba'inyon,1
dangdmigs,1
bya'obka',1
a'arnnoo,1
pr'apt'arhatpa,1
rolde,1
rindr'i,1
d'arsham,1
dagrmugs,1
petta,1
lonyatha,1
gzhagphyis,1
baaa,1
aantashta,1
gtangzhes,1
pa'o'bangs,1
dbullung,1
t'urta,1
tarpit'a,1
'dugsgregs,1
ma'ikha,1
rm'as,1
n'ishtsa,1
audpe,1
tashtsonmo,1
sh'is,1
sannanda,1
praksho,1
shr'isi,1
bzloglha,1
tadku,1
b'idbh'a,1
yingnod,1
druglog,1
'chusmgo,1
reg'od,1
bgegso,1
khya'a,1
ttro,1
ts'artu,1
b'asn'a,1
gcigbsgribs,1
aakshin'i,1
regdngos,1
mgodimbha,1
yodcung,1
likshana,1
plix,1
la'ogcod,1
p'ushan,1
phyugdge,1
dangshashku,1
brtenrmi,1
tshigskyon,1
plim,1
mchogm'a,1
ldogsangs,1
drugdus,1
dagw'a,1
dagsol,1
bcagnad,1
sadbhy'a,1
'dirzhes,1
cheba,1
apun,1
dagsmri,1
tarppa,1
shvdtha,1
shigrgan,1
tinyakri,1
bdag'dus,1
senyarhha,1
boder,1
lathabs,1
tstshidha,1
shradha,1
rbda,1
slid,1
lindu,1
autkro,1
autkri,1
thigbyang,1
sanyukta,1
cigphyis,1
spyadgang,1
yantramsy'adb'a,1
aanyatsa'o,1
phyagsku,1
yaskumbha,1
dpe'odang,1
gbhy'a,1
dbhrim,1
stambhy'a,1
gnaggzhan,1
ktoo,1
gbhy'm,1
lagsgyed,1
snigha,1
kamp'urba,1
ghr'a'o,1
shanbhi,1
cingnang,1
shanbhu,1
shakam,1
gcignags,1
bddva,1
dhvant'a,1
bargo,1
'jogye,1
'jugrdzogs,1
dangm'a,1
kaddh'a,1
mdoglte,1
yatsar,1
sadhva,1
'dramtshan,1
bya'obtsun,1
sarsashti,1
rtika,1
sutra'i,1
zladum,1
katrisha,1
bkaggos,1
migrtag,1
shaskyur,1
shammya,1
sharp'u,1
mardhva,1
tsakrantasto,1
skragnyon,1
primtstsha,1
guhlu,1
badve,1
ddva,1
migmi,1
lr'anta,1
'gogkhyed,1
lcem,1
senda,1
si'a'i,1
bsdzr'a,1
reddh'a,1
yannirm'a,1
autstshusma'i,1
gg'ara,1
syurd'urbv'a,1
rki,1
bendu'i,1
knya,1
kr'antr'a,1
grollhan,1
thagdzan,1
gzhagcung,1
yatn'am,1
gsumma,1
tanvantu,1
rtogau,1
d'uryam,1
boyang,1
auddishtha'o,1
byugtshom,1
yatn'ar,1
nikt'ata,1
mabr'andha,1
brtaggsang,1
shrama,1
tya',1
aushnighe,1
limpra,1
bashtabdhoo,1
gobya,1
g'gyur,1
lagsdon,1
'oglto,1
bzhagkhardza,1
bhagi,1
karshata,1
pa'ogrol,1
patstshandan,1
brudrtse,1
ae'oae'ang,1
rigsems,1
gogtan,1
dyanytsa,1
napsu,1
dangbsod,1
payi,1
bsngotsha,1
r'utta,1
barkati'o,1
slim,1
dewa,1
aast'arsh'it,1
rakaae,1
a'alambha,1
kh'adha,1
nogur,1
mantarga,1
h'akha'i,1
siktoo,1
rut'am,1
lakshm'ibdhibi,1
gangdga',1
resminna,1
giphred,1
baaurbi,1
samnni,1
terbisma,1
lasyon,1
dutti,1
barnnarbbi,1
tshigkva,1
k'ik'arsh'a,1
kupdz'a,1
grihnantushta,1
rimzhes,1
btegdam,1
gadbha,1
toshne,1
kshba,1
yanggdon,1
badi'o,1
lakaaam,1
batkarmma,1
sindya,1
rag'di,1
bamchog,1
du'obum,1
garbna,1
breksha,1
mr'arpa,1
pasrlom,1
brjod'du,1
bgyidkyil,1
dittya,1
tishthas,1
nasbrtsams,1
khy'ab,1
gandahe,1
tishthat,1
logmdog,1
nishkr'anta,1
trak,1
khy'as,1
rap'u,1
namthams,1
airshye,1
tunt'a,1
shval,1
sbrikka'i,1
shvai,1
nbh'i,1
shvag,1
bantardha,1
thubdon,1
la'oghu,1
ragbhi,1
tr'iam,1
durn'i,1
dandota,1
dadhishtha,1
nusk'arshi,1
tratkri,1
gislong,1
dyasukshata,1
shts'ardhe,1
bya'osh'a,1
'gromal,1
la'obyang,1
kyangbyis,1
bithsu,1
sammatte,1
dhut'i'o,1
bkagae,1
sastr'a,1
skyeslog,1
nasglo,1
ddrishtvee,1
kh'agnam,1
pr'akt'a,1
aira'oyang,1
g'arth'i,1
lopus,1
bhushma,1
nyutta,1
nothob,1
b'aggi,1
dukranya,1
bhira,1
boddhya,1
g'iti,1
t'akshartu,1
mantree,1
tigrin,1
tasminb'urbba,1
tyantarba,1
t'annri,1
brlag'bral,1
aurba'i,1
'jugbdun,1
sothor,1
bitd'at,1
riglag,1
kamla,1
du'khru,1
ma'osdug,1
padgos,1
pa'ophyung,1
aukth,1
rgyugnyams,1
shogrdul,1
hyantya,1
d'artte,1
basanta,1
d'artti,1
p'asparta,1
aitvanma,1
'gogsnyan,1
ttenta,1
tv'ara,1
nghis,1
ghanydza'i,1
yugaoo,1
phyugma,1
phyugme,1
turm'as,1
latphushpo,1
prabta,1
nurdvirna,1
skarm'a,1
brlabslas,1
tabalk'a,1
h'adgra,1
hven,1
trak'a,1
kig'a,1
sothob,1
hvee,1
drigaoo,1
bzlogtshangs,1
murnan,1
'og'dir,1
gcigdmigs,1
zaggzugs,1
ksh'anda,1
tirm'urtstsh'a,1
g'istu,1
bongg'a,1
r'ikshee,1
dagyengs,1
grag'bras,1
gzhugnges,1
toming,1
dhumb'a,1
nomkhris,1
nytstsh'u,1
t'idzny'a,1
samdzad,1
bh'atpya,1
dikahe,1
nibad,1
bcuggang,1
dendi,1
g'arju,1
teshte,1
kema,1
nokhrims,1
tyada'i,1
darshva,1
tshiglnga,1
sti'onyon,1
triam,1
gabong,1
tr'atyu,1
sphrar,1
gugral,1
h'attvam,1
thagpr'a,1
