stem,idf
sre,2419
skyil,2406
rdung,2399
nur,2395
zham,2395
dzny'a,2389
shel,2389
rkun,2387
rtsva,2370
bee,2366
krung,2360
blan,2347
t'i,2341
lhar,2335
cir,2318
rnye,2317
sbam,2301
shed,2294
dzag,2292
gir,2276
ter,2272
dza',2250
hya,2249
myu,2221
thil,2220
lngar,2206
phug,2203
zheng,2197
rtsig,2182
sgeg,2181
zing,2176
shal,2167
shr'i,2165
hr'i,2159
lding,2155
hri,2150
skrad,2149
rmad,2139
yar,2130
tri,2129
tud,2125
sgar,2120
khur,2114
ke,2102
khyil,2097
gung,2095
rgyang,2094
thim,2085
kral,2082
dzum,2074
rnan,2073
gran,2072
skud,2072
tse,2061
bran,2052
rtsib,2046
reng,2042
zhib,2036
drad,2036
lkag,2033
ljan,2029
cham,2023
sring,1999
k'i,1990
zhum,1984
tsher,1973
chan,1956
pral,1939
cud,1938
ril,1937
ksha,1924
phran,1922
spel,1921
aam,1906
yug,1896
khye'u,1889
sya,1889
snum,1888
tig,1885
thur,1870
phral,1870
tshug,1867
'u,1860
sdad,1838
zhad,1806
ling,1799
rlam,1794
tug,1788
khyi,1785
n'am,1782
tsan,1768
rlan,1761
gyed,1760
dub,1736
khyam,1721
byig,1718
rjer,1714
kre,1712
chab,1701
pad,1688
sen,1676
zir,1640
bh'u,1639
kam,1633
gyan,1631
smig,1626
khyu,1606
rdzing,1599
rdal,1586
snun,1579
khrid,1573
sv'ah'a,1569
phen,1565
rdeg,1564
dreg,1545
cer,1544
rlag,1543
rnya,1539
ning,1538
wang,1537
gum,1532
pam,1531
gleg,1517
rva,1514
shya,1510
phyang,1506
phud,1497
ratna,1493
tshab,1486
sgreng,1485
dh'u,1482
rib,1481
pri,1470
sprad,1461
drin,1455
rnyag,1454
koo,1454
tsheg,1447
p'u,1440
zhar,1437
rdzi,1437
tsig,1433
sh'i,1428
rnying,1427
mag,1421
tub,1416
goo,1415
nying,1412
tsag,1406
tya,1384
yud,1381
chur,1376
tshva,1373
gangg'a'i,1358
bre,1355
ran,1353
pur,1352
tv'am,1349
mri,1344
ao,1333
rka,1322
ded,1319
sran,1310
w'a,1308
phu,1298
ltag,1297
jal,1295
rgyag,1289
autpa,1283
skyug,1277
a'atma,1274
kram,1273
mir,1268
tva,1260
sbal,1259
rdar,1255
mi',1234
s'u,1230
bung,1229
kheng,1226
cal,1217
padmo,1217
skyur,1217
krug,1215
buddha,1213
srad,1211
kh'a,1198
shul,1195
brum,1189
rnag,1184
blun,1181
dral,1181
sher,1175
a,1164
l'i,1163
sbub,1162
cin,1161
smya,1161
mer,1157
tsar,1156
rku,1153
tishtha,1149
snyem,1148
gab,1148
greng,1144
tul,1141
phya,1140
skang,1136
satva,1134
sh'akya'i,1128
rla,1128
spyang,1126
pang,1122
sri,1115
bandha,1115
phyar,1112
sbar,1107
autpala,1107
tshil,1106
srab,1103
t'am,1102
zhang,1101
lde,1100
kla,1089
gyag,1087
phad,1083
lhur,1078
radva,1077
ngur,1076
shun,1073
spyin,1073
skum,1072
sh'u,1067
sgrar,1064
padmar,1061
rgyug,1060
rked,1060
ja,1048
s'i,1046
star,1043
pandi,1041
dharma,1031
skem,1031
blag,1021
thul,1017
stug,1009
chil,995
byal,994
tre,991
dzva,988
r'u,980
thing,971
smre,967
le'ur,966
tsu,962
ger,957
kheb,945
khrung,945
rmug,943
gud,940
chug,938
ding,934
khe,933
sbra,930
slan,923
kab,922
sarbba,916
lham,916
theb,915
nyug,914
blud,912
hra,907
su',905
rer,903
spun,903
teg,902
khrel,902
gre,901
mah'a,897
shri,894
mthe'u,887
sngam,883
pa'i'o,882
karma,881
by'a,879
stvam,879
rul,877
cha',875
rdab,872
drar,870
tv'a,869
'ur,864
aindra,860
rtsir,858
thi,854
brug,847
grva,846
raksha,846
snal,842
a'arya,837
khal,834
dharm'a,833
tsir,832
mandala,824
ske,824
d'urya,823
